kind,level,stage,exercise_id,subtype,route,text,has_existing_audio
global,,,global-home-welcome,,/audio/voice/home-welcome.mp3,Hola. Bienvenido a Juego Leo. Vamos a leer con calma y alegria.,true
global,,,global-home-start,,/audio/voice/home-start.mp3,"Cuando estes listo, empezamos paso a paso.",true
global,,,global-exercise-success,,/audio/voice/exercise-succes.mp3,Muy bien. Lo lograste con calma.,true
global,,,global-exercise-try-again,,/audio/voice/exercise-try-again.mp3,Casi. Respira y prueba otra vez.,true
global,,,global-positive-1,,/audio/voice/positive1.mp3,"Muy bien. Sigue asi, con calma.",true
global,,,global-positive-2,,/audio/voice/positive2.mp3,Excelente esfuerzo. Lo estas haciendo muy bien.,true
global,,,global-positive-3,,/audio/voice/positive3.mp3,Buen trabajo. Respira y continuamos.,true
exercise,1,1,L1-QS-1,question_sentence,/audio/voice/exercises/generated/l1-qs-1.mp3,¿Dónde descansa el búho?,true
exercise,1,1,L1-QS-2,question_sentence,/audio/voice/exercises/generated/l1-qs-2.mp3,¿Qué hace la luciérnaga?,true
exercise,1,1,L1-QS-3,question_sentence,/audio/voice/exercises/generated/l1-qs-3.mp3,¿Qué encuentra el oso perezoso?,true
exercise,1,1,L1-QS-4,question_sentence,/audio/voice/exercises/generated/l1-qs-4.mp3,¿Quién abraza al perro?,true
exercise,1,2,L1-CS-1,complete_sentence,/audio/voice/exercises/generated/l1-cs-1.mp3,El hada ____ la puerta secreta.,true
exercise,1,2,L1-CS-2,complete_sentence,/audio/voice/exercises/generated/l1-cs-2.mp3,La nube ____ gotas.,true
exercise,1,2,L1-CS-3,complete_sentence,/audio/voice/exercises/generated/l1-cs-3.mp3,El oso ____ con calma.,true
exercise,1,2,L1-CS-4,complete_sentence,/audio/voice/exercises/generated/l1-cs-4.mp3,La hoja ____ al viento.,true
exercise,1,2,L1-CS-5,complete_sentence,/audio/voice/exercises/generated/l1-cs-5.mp3,El río ____ un canto suave.,true
exercise,1,2,L1-CS-6,complete_sentence,/audio/voice/exercises/generated/l1-cs-6.mp3,La luna ____ la noche.,true
exercise,1,2,L1-CS-7,complete_sentence,/audio/voice/exercises/generated/l1-cs-7.mp3,El colibrí ____ flores mágicas.,true
exercise,1,2,L1-CS-8,complete_sentence,/audio/voice/exercises/generated/l1-cs-8.mp3,La campana ____ el recreo.,true
exercise,1,3,L1-OS-1,order_sentence,/audio/voice/exercises/generated/l1-os-1.mp3,Comienza con el artículo.,true
exercise,1,3,L1-OS-2,order_sentence,/audio/voice/exercises/generated/l1-os-2.mp3,Coloca 'El' al inicio.,true
exercise,1,3,L1-OS-3,order_sentence,/audio/voice/exercises/generated/l1-os-3.mp3,"Sujeto primero, luego acción.",true
exercise,1,3,L1-OS-4,order_sentence,/audio/voice/exercises/generated/l1-os-4.mp3,Respeta el orden natural de sujeto y verbo.,true
exercise,1,3,L1-OS-NEW-1,order_sentence,/audio/voice/exercises/generated/l1-os-new-1.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-2,order_sentence,/audio/voice/exercises/generated/l1-os-new-2.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-3,order_sentence,/audio/voice/exercises/generated/l1-os-new-3.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-4,order_sentence,/audio/voice/exercises/generated/l1-os-new-4.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-5,order_sentence,/audio/voice/exercises/generated/l1-os-new-5.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-6,order_sentence,/audio/voice/exercises/generated/l1-os-new-6.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-7,order_sentence,/audio/voice/exercises/generated/l1-os-new-7.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-8,order_sentence,/audio/voice/exercises/generated/l1-os-new-8.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-9,order_sentence,/audio/voice/exercises/generated/l1-os-new-9.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-10,order_sentence,/audio/voice/exercises/generated/l1-os-new-10.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-11,order_sentence,/audio/voice/exercises/generated/l1-os-new-11.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-12,order_sentence,/audio/voice/exercises/generated/l1-os-new-12.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-13,order_sentence,/audio/voice/exercises/generated/l1-os-new-13.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-14,order_sentence,/audio/voice/exercises/generated/l1-os-new-14.mp3,Toca primero quién hace la acción.,false
exercise,1,3,L1-OS-NEW-15,order_sentence,/audio/voice/exercises/generated/l1-os-new-15.mp3,Toca primero quién hace la acción.,false
exercise,1,4,L1-RW-1,read_with_audio,/audio/voice/exercises/generated/l1-rw-1.mp3,"Lee la frase con ritmo tranquilo. Si quieres, escucha el audio.",true
exercise,1,4,L1-RW-2,read_with_audio,/audio/voice/exercises/generated/l1-rw-2.mp3,Lee en voz alta. Pulsa escuchar si prefieres.,true
exercise,1,4,L1-RW-3,read_with_audio,/audio/voice/exercises/generated/l1-rw-3.mp3,Imagina el movimiento mientras lees.,true
exercise,1,4,L1-RW-4,read_with_audio,/audio/voice/exercises/generated/l1-rw-4.mp3,Lee tú mismo y disfruta del ritmo.,true
exercise,1,5,L1-IWM-1,IMAGE_WORD_MATCH,/audio/voice/exercises/generated/l1-iwm-1.mp3,Selecciona la palabra que nombra la imagen,true
exercise,1,5,L1-IWM-2,IMAGE_WORD_MATCH,/audio/voice/exercises/generated/l1-iwm-2.mp3,Selecciona la palabra que nombra la imagen,true
exercise,1,6,L1-CCW-1,CHOOSE_CORRECT_WORD,/audio/voice/exercises/generated/l1-ccw-1.mp3,Elige la palabra correcta,true
exercise,1,6,L1-CCW-2,CHOOSE_CORRECT_WORD,/audio/voice/exercises/generated/l1-ccw-2.mp3,Elige la palabra correcta,true
exercise,2,1,L2-MC-1,multiple_choice,/audio/voice/exercises/generated/l2-mc-1.mp3,Encierra el nombre correcto del dibujo: sol,true
exercise,2,1,L2-MC-2,multiple_choice,/audio/voice/exercises/generated/l2-mc-2.mp3,Encierra el nombre correcto del dibujo: sapo,true
exercise,2,1,L2-MC-3,multiple_choice,/audio/voice/exercises/generated/l2-mc-3.mp3,Encierra el nombre correcto del dibujo: sopa,true
exercise,2,1,L2-MC-4,multiple_choice,/audio/voice/exercises/generated/l2-mc-4.mp3,Encierra el nombre correcto del dibujo: mesa,true
exercise,2,1,L2-MC-5,multiple_choice,/audio/voice/exercises/generated/l2-mc-5.mp3,Encierra el nombre correcto del dibujo: oso,true
exercise,2,1,L2-MC-6,multiple_choice,/audio/voice/exercises/generated/l2-mc-6.mp3,Encierra el nombre correcto del dibujo: pato,true
exercise,2,1,L2-MC-7,multiple_choice,/audio/voice/exercises/generated/l2-mc-7.mp3,Encierra el nombre correcto del dibujo: luna,true
exercise,2,2,L2-PS-1,pair_synonyms,/audio/voice/exercises/generated/l2-ps-1.mp3,Busca parejas que compartan significado.,true
exercise,2,2,L2-PS-2,pair_synonyms,/audio/voice/exercises/generated/l2-ps-2.mp3,Observa cómo cada palabra describe lo mismo.,true
exercise,2,2,L2-PS-3,pair_synonyms,/audio/voice/exercises/generated/l2-ps-3.mp3,Une el número con su nombre escrito.,true
exercise,2,3,L2-PA-1,pair_antonyms,/audio/voice/exercises/generated/l2-pa-1.mp3,Une palabras que significan lo contrario.,true
exercise,2,3,L2-PA-2,pair_antonyms,/audio/voice/exercises/generated/l2-pa-2.mp3,Recuerda: el opuesto crea equilibrio mágico.,true
exercise,2,4,L2-UW-1,UNSCRAMBLE_WORD,/audio/voice/exercises/generated/l2-uw-1.mp3,Comida caliente.,false
exercise,2,4,L2-UW-2,UNSCRAMBLE_WORD,/audio/voice/exercises/generated/l2-uw-2.mp3,Un animal doméstico.,false
exercise,2,5,L2-CW-1,COMPLETE_WORD,/audio/voice/exercises/generated/l2-cw-1.mp3,Completa la palabra: sopa.,false
exercise,2,5,L2-CW-2,COMPLETE_WORD,/audio/voice/exercises/generated/l2-cw-2.mp3,Completa la palabra: luna.,false
