row_id,level,stage,exercise_id,subtype,type,role,field,target_path,text
1,1,1,L1-QS-1,question_sentence,question_sentence,narration,question,public/audio/exercises/L1/L1-QS-1/narration_question.mp3,¿Dónde descansa el búho?
2,1,1,L1-QS-1,question_sentence,question_sentence,narration,sentence,public/audio/exercises/L1/L1-QS-1/narration_sentence.mp3,El búho duerme en el árbol.
3,1,1,L1-QS-1,question_sentence,question_sentence,response,correct,public/audio/exercises/L1/L1-QS-1/response_correct.mp3,En el árbol.
4,1,1,L1-QS-1,question_sentence,question_sentence,response,options[0],public/audio/exercises/L1/L1-QS-1/response_options[0].mp3,En el árbol.
5,1,1,L1-QS-1,question_sentence,question_sentence,response,options[1],public/audio/exercises/L1/L1-QS-1/response_options[1].mp3,En el lago brillante
6,1,1,L1-QS-1,question_sentence,question_sentence,hint,hint,public/audio/exercises/L1/L1-QS-1/hint_hint.mp3,Lee la frase completa y busca el lugar mencionado.
7,1,1,L1-QS-2,question_sentence,question_sentence,narration,question,public/audio/exercises/L1/L1-QS-2/narration_question.mp3,¿Qué hace la luciérnaga?
8,1,1,L1-QS-2,question_sentence,question_sentence,narration,sentence,public/audio/exercises/L1/L1-QS-2/narration_sentence.mp3,La luciérnaga ilumina la noche.
9,1,1,L1-QS-2,question_sentence,question_sentence,response,correct,public/audio/exercises/L1/L1-QS-2/response_correct.mp3,Ilumina la noche
10,1,1,L1-QS-2,question_sentence,question_sentence,response,options[0],public/audio/exercises/L1/L1-QS-2/response_options[0].mp3,Canta la noche
11,1,1,L1-QS-2,question_sentence,question_sentence,response,options[1],public/audio/exercises/L1/L1-QS-2/response_options[1].mp3,Ilumina la noche
12,1,1,L1-QS-2,question_sentence,question_sentence,hint,hint,public/audio/exercises/L1/L1-QS-2/hint_hint.mp3,Piensa en lo que hace una luciérnaga.
13,1,1,L1-QS-3,question_sentence,question_sentence,narration,question,public/audio/exercises/L1/L1-QS-3/narration_question.mp3,¿Qué encuentra el oso perezoso?
14,1,1,L1-QS-3,question_sentence,question_sentence,narration,sentence,public/audio/exercises/L1/L1-QS-3/narration_sentence.mp3,El oso perezoso encuentra una flor azul.
15,1,1,L1-QS-3,question_sentence,question_sentence,response,correct,public/audio/exercises/L1/L1-QS-3/response_correct.mp3,Una flor azul
16,1,1,L1-QS-3,question_sentence,question_sentence,response,options[0],public/audio/exercises/L1/L1-QS-3/response_options[0].mp3,Una flor azul
17,1,1,L1-QS-3,question_sentence,question_sentence,response,options[1],public/audio/exercises/L1/L1-QS-3/response_options[1].mp3,Una luna roja
18,1,1,L1-QS-3,question_sentence,question_sentence,hint,hint,public/audio/exercises/L1/L1-QS-3/hint_hint.mp3,Observa el objeto final de la frase.
19,1,1,L1-QS-4,question_sentence,question_sentence,narration,question,public/audio/exercises/L1/L1-QS-4/narration_question.mp3,¿Quién abraza al perro?
20,1,1,L1-QS-4,question_sentence,question_sentence,narration,sentence,public/audio/exercises/L1/L1-QS-4/narration_sentence.mp3,El niño abraza al perro alegre.
21,1,1,L1-QS-4,question_sentence,question_sentence,response,correct,public/audio/exercises/L1/L1-QS-4/response_correct.mp3,El niño
22,1,1,L1-QS-4,question_sentence,question_sentence,response,options[0],public/audio/exercises/L1/L1-QS-4/response_options[0].mp3,El gato
23,1,1,L1-QS-4,question_sentence,question_sentence,response,options[1],public/audio/exercises/L1/L1-QS-4/response_options[1].mp3,El niño
24,1,1,L1-QS-4,question_sentence,question_sentence,hint,hint,public/audio/exercises/L1/L1-QS-4/hint_hint.mp3,Lee el sujeto del verbo 'abraza'.
25,1,2,L1-CS-1,complete_sentence,complete_sentence,narration,prompt,public/audio/exercises/L1/L1-CS-1/narration_prompt.mp3,El hada ____ la puerta secreta.
26,1,2,L1-CS-1,complete_sentence,complete_sentence,response,correct,public/audio/exercises/L1/L1-CS-1/response_correct.mp3,abre
27,1,2,L1-CS-1,complete_sentence,complete_sentence,response,options[0],public/audio/exercises/L1/L1-CS-1/response_options[0].mp3,abre
28,1,2,L1-CS-1,complete_sentence,complete_sentence,response,options[1],public/audio/exercises/L1/L1-CS-1/response_options[1].mp3,baila
29,1,2,L1-CS-1,complete_sentence,complete_sentence,hint,hint,public/audio/exercises/L1/L1-CS-1/hint_hint.mp3,Piensa en lo que se hace con una puerta.
30,1,2,L1-CS-2,complete_sentence,complete_sentence,narration,prompt,public/audio/exercises/L1/L1-CS-2/narration_prompt.mp3,La nube ____ gotas.
31,1,2,L1-CS-2,complete_sentence,complete_sentence,response,correct,public/audio/exercises/L1/L1-CS-2/response_correct.mp3,deja
32,1,2,L1-CS-2,complete_sentence,complete_sentence,response,options[0],public/audio/exercises/L1/L1-CS-2/response_options[0].mp3,deja
33,1,2,L1-CS-2,complete_sentence,complete_sentence,response,options[1],public/audio/exercises/L1/L1-CS-2/response_options[1].mp3,cocina
34,1,2,L1-CS-2,complete_sentence,complete_sentence,hint,hint,public/audio/exercises/L1/L1-CS-2/hint_hint.mp3,Las nubes dejan algo que cae del cielo.
35,1,2,L1-CS-3,complete_sentence,complete_sentence,narration,prompt,public/audio/exercises/L1/L1-CS-3/narration_prompt.mp3,El oso ____ con calma.
36,1,2,L1-CS-3,complete_sentence,complete_sentence,response,correct,public/audio/exercises/L1/L1-CS-3/response_correct.mp3,camina
37,1,2,L1-CS-3,complete_sentence,complete_sentence,response,options[0],public/audio/exercises/L1/L1-CS-3/response_options[0].mp3,camina
38,1,2,L1-CS-3,complete_sentence,complete_sentence,response,options[1],public/audio/exercises/L1/L1-CS-3/response_options[1].mp3,pinta
