row_id,level_id,level_name,event_key,target_path,language,voice_style,pace,pitch,emotion,spoken_text,studio_prompt
1,L1,La fuerza tranquila,start,public/audio/voice/start.mp3,es-CO,calm_welcome,0.94,0.98,seguridad,"Hola, empecemos con calma. Tu puedes.","Warm child-friendly female voice, very natural, calm and reassuring, no robotic rhythm, short sentence"
2,L1,La fuerza tranquila,choose,public/audio/voice/choose.mp3,es-CO,gentle_instruction,0.93,0.98,paciencia,"Elige la opcion correcta con tranquilidad.","Soft instructional tone for early readers, patient and clear articulation"
3,L1,La fuerza tranquila,retry,public/audio/voice/try.mp3,es-CO,emotional_support,0.90,0.97,contencion,"Respira y vuelve a intentarlo. Lo estas haciendo bien.","Supportive and soothing coaching tone, affectionate and personal"
4,L1,La fuerza tranquila,positive1,public/audio/voice/positive1.mp3,es-CO,soft_praise,0.96,1.00,orgullo,"Muy bien, vas excelente.","Short praise, warm smile in voice, low pressure"
5,L2,Palabras magicas,start,public/audio/voice/start.mp3,es-CO,cheerful_guide,0.99,1.01,entusiasmo,"Listo, vamos con palabras magicas.","Encouraging playful teacher tone, bright but controlled"
6,L2,Palabras magicas,listen,public/audio/voice/listen.mp3,es-CO,focus_prompt,0.96,1.00,atencion,"Escucha con atencion y luego responde.","Clear focus cue for kids, concise and engaging"
7,L2,Palabras magicas,choose,public/audio/voice/choose.mp3,es-CO,playful_instruction,0.99,1.01,juego,"Piensa y elige la mejor opcion.","Playful guidance, confident and natural prosody"
9,L3,Mono curioso,start,public/audio/voice/start.mp3,es-CO,curious_energy,1.00,1.02,curiosidad,"Comencemos, explora y descubre la respuesta.","Curious and motivating voice, clear and lively"
10,L3,Mono curioso,listen,public/audio/voice/listen.mp3,es-CO,analytic_focus,0.98,1.00,concentracion,"Escucha, observa y luego decide.","Slightly more focused instruction for mid-level exercises"
11,L3,Mono curioso,read,public/audio/voice/read.mp3,es-CO,reading_coach,0.96,1.00,ritmo,"Lee despacio y entiende cada palabra.","Reading coach tone, supportive and clear diction"
12,L3,Mono curioso,positive3,public/audio/voice/positive3.mp3,es-CO,confident_praise,1.01,1.02,confianza,"Gran trabajo, sigues mejorando.","Positive reinforcement with confidence"
13,L4,Escritura con magia,start,public/audio/voice/start.mp3,es-CO,coach_mode,1.00,1.01,determinacion,"Vamos a escribir con atencion y orden.","Coach-like tone, motivating and structured"
14,L4,Escritura con magia,read,public/audio/voice/read.mp3,es-CO,dictation_support,0.95,0.99,claridad,"Escucha y escribe con cuidado.","Dictation helper tone, precise pronunciation, moderate pace"
15,L4,Escritura con magia,retry,public/audio/voice/try.mp3,es-CO,resilient_support,0.94,0.99,resiliencia,"Buen intento. Corrige y vuelve a probar.","Constructive retry message, optimistic and respectful"
16,L4,Escritura con magia,success,public/audio/voice/succes.mp3,es-CO,achievement_soft,1.02,1.03,satisfaccion,"Excelente, lo escribiste muy bien.","Achievement cue with proud but soft delivery"
17,L5,Elefante sabiondo,start,public/audio/voice/start.mp3,es-CO,mentor_confident,1.01,1.01,maestria,"Iniciamos el nivel final. Confia en lo que sabes.","Mentor tone for final level, confident, warm authority"
18,L5,Elefante sabiondo,listen,public/audio/voice/listen.mp3,es-CO,strategic_focus,0.97,1.00,precision,"Escucha con precision y responde con seguridad.","Final-stage focus cue, clear and deliberate"
19,L5,Elefante sabiondo,read,public/audio/voice/read.mp3,es-CO,advanced_reading_coach,0.95,0.99,comprension,"Lee completo y busca el sentido del texto.","Advanced reading guidance, mature but child-friendly"
20,L5,Elefante sabiondo,success,public/audio/voice/succes.mp3,es-CO,grand_celebration,1.03,1.04,logro,"Increible, completaste esta etapa.","Final-level celebration cue, proud and heartfelt"
21,L5,Elefante sabiondo,positive4,public/audio/voice/positive4.mp3,es-CO,mentor_praise,1.01,1.02,reconocimiento,"Excelente estrategia, gran avance.","Extra positive variant for rotation, same voice identity"
22,L5,Elefante sabiondo,positive5,public/audio/voice/positive5.mp3,es-CO,mentor_praise,1.00,1.01,reconocimiento,"Muy bien pensado, sigue asi.","Extra positive variant, natural and personal"
