level,stage,exercise_id,subtype,field,text
1,1,L1-QS-1,question_sentence,question,¿Dónde descansa el búho?
1,1,L1-QS-1,question_sentence,sentence,El búho duerme en el árbol.
1,1,L1-QS-1,question_sentence,hint,Lee la frase completa y busca el lugar mencionado.
1,1,L1-QS-2,question_sentence,question,¿Qué hace la luciérnaga?
1,1,L1-QS-2,question_sentence,sentence,La luciérnaga ilumina la noche.
1,1,L1-QS-2,question_sentence,hint,Piensa en lo que hace una luciérnaga.
1,1,L1-QS-3,question_sentence,question,¿Qué encuentra el oso perezoso?
1,1,L1-QS-3,question_sentence,sentence,El oso perezoso encuentra una flor azul.
1,1,L1-QS-3,question_sentence,hint,Observa el objeto final de la frase.
1,1,L1-QS-4,question_sentence,question,¿Quién abraza al perro?
1,1,L1-QS-4,question_sentence,sentence,El niño abraza al perro alegre.
1,1,L1-QS-4,question_sentence,hint,Lee el sujeto del verbo 'abraza'.
1,2,L1-CS-1,complete_sentence,prompt,El hada ____ la puerta secreta.
1,2,L1-CS-1,complete_sentence,hint,Piensa en lo que se hace con una puerta.
1,2,L1-CS-2,complete_sentence,prompt,La nube ____ gotas.
1,2,L1-CS-2,complete_sentence,hint,Las nubes dejan algo que cae del cielo.
1,2,L1-CS-3,complete_sentence,prompt,El oso ____ con calma.
1,2,L1-CS-3,complete_sentence,hint,Recuerda que es un oso tranquilo.
1,2,L1-CS-4,complete_sentence,prompt,La hoja ____ al viento.
1,2,L1-CS-4,complete_sentence,hint,¿Qué hace una hoja en el aire?
1,2,L1-CS-5,complete_sentence,prompt,El río ____ un canto suave.
1,2,L1-CS-5,complete_sentence,hint,Piensa en un sonido tranquilo de agua.
1,2,L1-CS-6,complete_sentence,prompt,La luna ____ la noche.
1,2,L1-CS-6,complete_sentence,hint,Busca la acción que da luz.
1,2,L1-CS-7,complete_sentence,prompt,El colibrí ____ flores mágicas.
1,2,L1-CS-7,complete_sentence,hint,¿Qué hace un colibrí con las flores?
1,2,L1-CS-8,complete_sentence,prompt,La campana ____ el recreo.
1,2,L1-CS-8,complete_sentence,hint,Recuerda qué hace la campana en la escuela.
1,3,L1-OS-1,order_sentence,hint,Comienza con el artículo.
1,3,L1-OS-2,order_sentence,hint,Coloca 'El' al inicio.
1,3,L1-OS-3,order_sentence,hint,"Sujeto primero, luego acción."
1,3,L1-OS-4,order_sentence,hint,Respeta el orden natural de sujeto y verbo.
1,4,L1-RW-1,read_with_audio,instruction,"Lee la frase con ritmo tranquilo. Si quieres, escucha el audio."
1,4,L1-RW-1,read_with_audio,text,El faro guía a los barcos perdidos.
1,4,L1-RW-1,read_with_audio,hint,Respira y lee despacio cada palabra.
1,4,L1-RW-2,read_with_audio,instruction,Lee en voz alta. Pulsa escuchar si prefieres.
1,4,L1-RW-2,read_with_audio,text,La campana anuncia el recreo.
1,4,L1-RW-2,read_with_audio,hint,Observa las sílabas: cam-pa-na.
1,4,L1-RW-3,read_with_audio,instruction,Imagina el movimiento mientras lees.
1,4,L1-RW-3,read_with_audio,text,Las hojas viajan con el viento.
1,4,L1-RW-3,read_with_audio,hint,Marca con el dedo cada palabra.
1,4,L1-RW-4,read_with_audio,instruction,Lee tú mismo y disfruta del ritmo.
1,4,L1-RW-4,read_with_audio,text,El río canta para el bosque.
1,4,L1-RW-4,read_with_audio,hint,Pronuncia lentamente las sílabas.
1,5,L1-IWM-1,IMAGE_WORD_MATCH,prompt,Selecciona la palabra que nombra la imagen
1,5,L1-IWM-1,IMAGE_WORD_MATCH,hint,Piensa en lo que brilla en el cielo.
1,5,L1-IWM-2,IMAGE_WORD_MATCH,prompt,Selecciona la palabra que nombra la imagen
1,5,L1-IWM-2,IMAGE_WORD_MATCH,hint,Suena para avisar.
1,6,L1-CCW-1,CHOOSE_CORRECT_WORD,prompt,Elige la palabra correcta
1,6,L1-CCW-1,CHOOSE_CORRECT_WORD,hint,Historias para dormir.
1,6,L1-CCW-2,CHOOSE_CORRECT_WORD,prompt,Elige la palabra correcta
1,6,L1-CCW-2,CHOOSE_CORRECT_WORD,hint,Guía a los barcos de noche.
2,1,L2-MC-1,multiple_choice,question,Encierra el nombre correcto del dibujo: sol
2,1,L2-MC-1,multiple_choice,hint,Fíjate en la vocal que suena en medio (o).
2,1,L2-MC-2,multiple_choice,question,Encierra el nombre correcto del dibujo: sapo
2,1,L2-MC-2,multiple_choice,hint,Escucha el sonido de la primera y la última sílaba: sa-po.
2,1,L2-MC-3,multiple_choice,question,Encierra el nombre correcto del dibujo: sopa
2,1,L2-MC-3,multiple_choice,hint,Busca la sílaba central que suena 'o'.
2,1,L2-MC-4,multiple_choice,question,Encierra el nombre correcto del dibujo: mesa
2,1,L2-MC-4,multiple_choice,hint,Pon atención al sonido de la primera vocal (e).
2,1,L2-MC-5,multiple_choice,question,Encierra el nombre correcto del dibujo: oso
2,1,L2-MC-5,multiple_choice,hint,Suena igual al decirlo y escribirlo: o-so.
2,1,L2-MC-6,multiple_choice,question,Encierra el nombre correcto del dibujo: pato
2,1,L2-MC-6,multiple_choice,hint,La palabra empieza como 'pa' de pato.
2,1,L2-MC-7,multiple_choice,question,Encierra el nombre correcto del dibujo: luna
2,1,L2-MC-7,multiple_choice,hint,Escucha el sonido 'lu-na' al decirlo.
2,2,L2-PS-1,pair_synonyms,hint,Busca parejas que compartan significado.
